username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LS_Seniors;2017-09-15 19:10;0;0;"RT @LivingSafely : It may be harder to quit #smoking than stop using #cocaine or #heroin . This September, get help at 1-800-QUIT-NOW!";;@LivingSafely;#smoking #cocaine #heroin;"908830323047370752";https://twitter.com/LS_Seniors/status/908830323047370752
LS_Parenting;2017-09-15 19:05;0;0;"RT @LivingSafely : It may be harder to quit #smoking than stop using #cocaine or #heroin . This September, get help at 1-800-QUIT-NOW!";;@LivingSafely;#smoking #cocaine #heroin;"908829065943056384";https://twitter.com/LS_Parenting/status/908829065943056384
LS_Nutrition;2017-09-15 19:00;0;0;"RT @LivingSafely : It may be harder to quit #smoking than stop using #cocaine or #heroin . This September, get help at 1-800-QUIT-NOW!";;@LivingSafely;#smoking #cocaine #heroin;"908827934722609152";https://twitter.com/LS_Nutrition/status/908827934722609152
LivingSafely;2017-09-15 18:45;0;0;"Family Health: It may be harder to quit #smoking than stop using #cocaine or #heroin . This September, get help at 1-800-QUIT-NOW!";;;#smoking #cocaine #heroin;"908824042362359812";https://twitter.com/LivingSafely/status/908824042362359812
LS_Health;2017-09-15 18:45;0;0;"RT @LivingSafely : It may be harder to quit #smoking than stop using #cocaine or #heroin . This September, get help at 1-800-QUIT-NOW!";;@LivingSafely;#smoking #cocaine #heroin;"908824041380859907";https://twitter.com/LS_Health/status/908824041380859907
get2thegulch;2017-09-15 18:26;0;1;"Maybe start by shutting down the CIA's heroin running op in Afghanistan so fewer vets get hooked @POTUS . Just a thought. #awancontra";;@POTUS;#awancontra;"908819333702225920";https://twitter.com/get2thegulch/status/908819333702225920
AnthonyFlyer40;2017-09-15 18:21;0;0;"Can stop coming in maybe our drug overdoses will decrease sorry if you do not get even 10% reduction in heroin will pay for the wall";;;;"908818021958979585";https://twitter.com/AnthonyFlyer40/status/908818021958979585
FreakMyDeke;2017-09-15 18:05;0;1;""I get it life sucks, and you want an escape. But why can't you do heroin like a normal person?"";;;;"908813974866718725";https://twitter.com/FreakMyDeke/status/908813974866718725
bloeisel_;2017-09-15 17:58;0;0;"A woman with a doctorate degree said today that people get into heroin cause they've nothing better to do???";;;;"908812284784455680";https://twitter.com/bloeisel_/status/908812284784455680
svfd_242;2017-09-15 17:51;0;0;"Yes agree 100%. Because when I see a white guy that's dealing heroin get shot I'm ok with it no reason to protest.";;;;"908810502842703872";https://twitter.com/svfd_242/status/908810502842703872
_AydinCurtis_;2017-09-15 17:50;0;0;"He was a heroin dealer speeding from the cops - hit a cop - then pulled out a gun. That'll get you like 3 stars in GTA V.";;;;"908810177062748160";https://twitter.com/_AydinCurtis_/status/908810177062748160
11dodo12345;2017-09-15 17:45;0;0;"Auto Repair Shop Called ‘ Get Your Fix’ Sold Meth and Heroin on the Side, Feds Say http:// internetmarketing.freedombucks.ws/auto-repair-sh op-called-get-your-fix-sold-meth-and-heroin-on-the-side-feds-say/ … pic.twitter.com/jNLkjVLIjH";;;;"908808983888125952";https://twitter.com/11dodo12345/status/908808983888125952
komraddiet;2017-09-15 17:45;0;0;"Auto Repair Shop Called ‘ Get Your Fix’ Sold Meth and Heroin on the Side, Feds Say http:// internetmarketing.freedombucks.ws/auto-repair-sh op-called-get-your-fix-sold-meth-and-heroin-on-the-side-feds-say/ … pic.twitter.com/mbrJgv5iBm";;;;"908808927495598081";https://twitter.com/komraddiet/status/908808927495598081
komrad;2017-09-15 17:43;0;0;"Auto Repair Shop Called ‘ Get Your Fix’ Sold Meth and Heroin on the Side, Feds Say http:// internetmarketing.freedombucks.ws/auto-repair-sh op-called-get-your-fix-sold-meth-and-heroin-on-the-side-feds-say/ … pic.twitter.com/cOQY0r3mQc";;;;"908808431179522048";https://twitter.com/komrad/status/908808431179522048
716Glitch;2017-09-15 17:41;0;0;"He was found not guilty so no it wasn't. This was a heroin dealer who tried to get in a gun fight w/a cop and lost.";;;;"908807961954238464";https://twitter.com/716Glitch/status/908807961954238464
